L1,L3,L4,L2,SL,SR,WL,WR,Label
5.61,30.47,13.04,31.39,0,0,0,0,no_person
6.09,30.84,12.44,38.09,0,0,0,0,no_person
6.26,30.72,12.66,26.26,0,0,0,0,no_person
6.55,30.46,12.88,13.45,0,0,0,0,no_person
6.73,29.87,13.06,31.27,0,0,0,0,no_person
6.83,28.57,13.35,2.83,0,0,0,0,no_person
7.07,28.64,13.52,14.93,0,0,0,0,no_person
7.03,29.75,13.44,39.97,0,0,0,0,no_person
6.16,30.49,13.6,23.84,0,0,0,0,no_person
4.93,30.87,13.81,5.07,0,0,0,0,no_person
4.51,30.82,13.59,3.49,0,0,0,0,no_person
4.18,30.63,12.01,43.82,0,0,0,0,no_person
3.82,30.27,12.55,43.18,0,0,0,0,no_person
3.97,29.66,12.41,47.97,0,0,0,0,no_person
4.02,29.23,12.66,63.02,0,0,0,0,no_person
3.86,29.2,12.92,34.14,0,0,0,0,no_person
3.77,29.72,12.9,46.77,0,0,0,0,no_person
3.75,30.54,13.19,11.25,0,0,0,0,no_person
4.42,27.95,13.49,51.58,0,0,0,0,no_person
6.02,30.47,13.41,13.98,0,0,0,0,no_person
5.91,30.21,13.26,4.09,0,0,0,0,no_person
5.25,30.1,13.11,16.25,0,0,0,0,no_person
5.36,29.96,13.22,23.64,0,0,0,0,no_person
5.43,30.01,13.17,50.57,0,0,0,0,no_person
5.38,30.36,12.97,4.38,0,0,0,0,no_person
4.92,30.05,12.62,18.92,0,0,0,0,no_person
4.78,28.33,12.36,39.78,0,0,0,0,no_person
4.32,27.11,12.05,0.68,0,0,0,0,no_person
3.57,26,11.98,0.43,0,0,0,0,no_person
3.34,25.46,12.45,53.66,0,0,0,0,no_person
4.01,24.94,12.74,44.01,0,0,0,0,no_person
4.53,24.2,13.42,43.47,0,0,0,0,no_person
4.79,24.58,13.91,40.79,0,0,0,0,no_person
4.92,25.54,13.87,62.92,0,0,0,0,no_person
5.42,25.8,13.44,25.58,0,0,0,0,no_person
5.69,26.56,13.49,62.69,0,0,0,0,no_person
5.79,27.76,13.61,10.21,0,0,0,0,no_person
5.76,27.54,13.61,27.24,0,0,0,0,no_person
5.83,27.38,13.56,24.83,0,0,0,0,no_person
5.84,27.09,13.78,52.17,0,0,0,0,no_person
5.97,26.86,13.77,52.97,0,0,0,0,no_person
6.15,26.57,13.33,48.15,0,0,0,0,no_person
6.32,26.59,12.79,43.68,0,0,0,0,no_person
6.41,26.58,12.56,28.41,0,0,0,0,no_person
6.53,25.47,12.3,51.47,0,0,0,0,no_person
6.94,24.88,12.17,45.94,0,0,0,0,no_person
7.65,24.86,12.27,34.65,0,0,0,0,no_person
7.46,25.27,12.42,42.46,0,0,0,0,no_person
7.49,25.28,12.25,41.51,0,0,0,0,no_person
6.52,23.3,12.26,46.48,0,0,0,0,no_person
286.86,242.14,436.86,258.86,631.33,438.83,390.83,579.92,correct_posture
276.53,247.9,441.06,302.53,590.67,567.67,492.67,597.33,correct_posture
276.49,241.14,435.9,258.49,526.33,377.67,455.33,505.33,correct_posture
273.49,246.07,441.69,295.49,509.42,425.83,472.67,427,correct_posture
